Term,term_full_ID,Pri_Disease_ID,Pri_disease_term
ossification of posterior longitudinal ligament,c05.116.900.480,c05,musculoskeletal diseases
platybasia,c05.116.900.540,c05,musculoskeletal diseases
posterior cervical sympathetic syndrome,c05.116.900.596,c05,musculoskeletal diseases
spinal curvatures,c05.116.900.800,c05,musculoskeletal diseases
kyphosis,c05.116.900.800.500,c05,musculoskeletal diseases
scheuermann disease,c05.116.900.800.500.500,c05,musculoskeletal diseases
lordosis,c05.116.900.800.750,c05,musculoskeletal diseases
scoliosis,c05.116.900.800.875,c05,musculoskeletal diseases
spinal neoplasms,c05.116.900.801,c05,musculoskeletal diseases
spinal osteochondrosis,c05.116.900.808,c05,musculoskeletal diseases
scheuermann disease,c05.116.900.808.500,c05,musculoskeletal diseases
spinal osteophytosis,c05.116.900.815,c05,musculoskeletal diseases
"hyperostosis, diffuse idiopathic skeletal",c05.116.900.815.651,c05,musculoskeletal diseases
spinal stenosis,c05.116.900.825,c05,musculoskeletal diseases
spondylitis,c05.116.900.853,c05,musculoskeletal diseases
discitis,c05.116.900.853.500,c05,musculoskeletal diseases
spondylarthritis,c05.116.900.853.625,c05,musculoskeletal diseases
"osteoarthritis, spine",c05.116.900.853.625.399,c05,musculoskeletal diseases
spondylarthropathies,c05.116.900.853.625.800,c05,musculoskeletal diseases
"arthritis, psoriatic",c05.116.900.853.625.800.424,c05,musculoskeletal diseases
"arthritis, reactive",c05.116.900.853.625.800.637,c05,musculoskeletal diseases
axial spondyloarthritis,c05.116.900.853.625.800.744,c05,musculoskeletal diseases
non-radiographic axial spondyloarthritis,c05.116.900.853.625.800.744.250,c05,musculoskeletal diseases
"spondylitis, ankylosing",c05.116.900.853.625.800.744.500,c05,musculoskeletal diseases
"tuberculosis, spinal",c05.116.900.853.850,c05,musculoskeletal diseases
spondylosis,c05.116.900.938,c05,musculoskeletal diseases
spondylolysis,c05.116.900.938.500,c05,musculoskeletal diseases
spondylolisthesis,c05.116.900.938.500.500,c05,musculoskeletal diseases
cartilage diseases,c05.182,c05,musculoskeletal diseases
chondromalacia patellae,c05.182.100,c05,musculoskeletal diseases
laryngomalacia,c05.182.310,c05,musculoskeletal diseases
osteochondritis,c05.182.520,c05,musculoskeletal diseases
pectus carinatum,c05.182.525,c05,musculoskeletal diseases
"polychondritis, relapsing",c05.182.531,c05,musculoskeletal diseases
tietze's syndrome,c05.182.790,c05,musculoskeletal diseases
tracheobronchomalacia,c05.182.895,c05,musculoskeletal diseases
bronchomalacia,c05.182.895.249,c05,musculoskeletal diseases
tracheomalacia,c05.182.895.500,c05,musculoskeletal diseases
fasciitis,c05.321,c05,musculoskeletal diseases
"fasciitis, necrotizing",c05.321.550,c05,musculoskeletal diseases
"fasciitis, plantar",c05.321.600,c05,musculoskeletal diseases
foot deformities,c05.330,c05,musculoskeletal diseases
"foot deformities, acquired",c05.330.488,c05,musculoskeletal diseases
bunion,c05.330.488.050,c05,musculoskeletal diseases
"bunion, tailor's",c05.330.488.050.500,c05,musculoskeletal diseases
hallux limitus,c05.330.488.300,c05,musculoskeletal diseases
hallux rigidus,c05.330.488.310,c05,musculoskeletal diseases
talipes,c05.330.488.655,c05,musculoskeletal diseases
clubfoot,c05.330.488.655.063,c05,musculoskeletal diseases
equinus deformity,c05.330.488.655.125,c05,musculoskeletal diseases
flatfoot,c05.330.488.655.250,c05,musculoskeletal diseases
talipes cavus,c05.330.488.655.500,c05,musculoskeletal diseases
"foot deformities, congenital",c05.330.495,c05,musculoskeletal diseases
talipes,c05.330.495.681,c05,musculoskeletal diseases
clubfoot,c05.330.495.681.063,c05,musculoskeletal diseases
equinus deformity,c05.330.495.681.125,c05,musculoskeletal diseases
flatfoot,c05.330.495.681.250,c05,musculoskeletal diseases
talipes cavus,c05.330.495.681.500,c05,musculoskeletal diseases
tarsal coalition,c05.330.495.787,c05,musculoskeletal diseases
hallux valgus,c05.330.610,c05,musculoskeletal diseases
hallux varus,c05.330.612,c05,musculoskeletal diseases
hammer toe syndrome,c05.330.615,c05,musculoskeletal diseases
metatarsal valgus,c05.330.663,c05,musculoskeletal diseases
metatarsus varus,c05.330.711,c05,musculoskeletal diseases
foot diseases,c05.360,c05,musculoskeletal diseases
"fasciitis, plantar",c05.360.350,c05,musculoskeletal diseases
"fibromatosis, plantar",c05.360.375,c05,musculoskeletal diseases
heel spur,c05.360.400,c05,musculoskeletal diseases
metatarsalgia,c05.360.500,c05,musculoskeletal diseases
morton neuroma,c05.360.500.500,c05,musculoskeletal diseases
posterior tibial tendon dysfunction,c05.360.750,c05,musculoskeletal diseases
hand deformities,c05.390,c05,musculoskeletal diseases
"hand deformities, acquired",c05.390.110,c05,musculoskeletal diseases
"hand deformities, congenital",c05.390.408,c05,musculoskeletal diseases
jaw diseases,c05.500,c05,musculoskeletal diseases
bisphosphonate-associated osteonecrosis of the jaw,c05.500.086,c05,musculoskeletal diseases
cherubism,c05.500.174,c05,musculoskeletal diseases
"granuloma, giant cell",c05.500.368,c05,musculoskeletal diseases
jaw abnormalities,c05.500.460,c05,musculoskeletal diseases
cleft palate,c05.500.460.185,c05,musculoskeletal diseases
micrognathism,c05.500.460.457,c05,musculoskeletal diseases
pierre robin syndrome,c05.500.460.606,c05,musculoskeletal diseases
prognathism,c05.500.460.655,c05,musculoskeletal diseases
retrognathia,c05.500.460.827,c05,musculoskeletal diseases
jaw cysts,c05.500.470,c05,musculoskeletal diseases
nonodontogenic cysts,c05.500.470.660,c05,musculoskeletal diseases
odontogenic cysts,c05.500.470.690,c05,musculoskeletal diseases
basal cell nevus syndrome,c05.500.470.690.150,c05,musculoskeletal diseases
dentigerous cyst,c05.500.470.690.310,c05,musculoskeletal diseases
"odontogenic cyst, calcifying",c05.500.470.690.605,c05,musculoskeletal diseases
periodontal cyst,c05.500.470.690.790,c05,musculoskeletal diseases
radicular cyst,c05.500.470.690.790.820,c05,musculoskeletal diseases
"jaw, edentulous",c05.500.480,c05,musculoskeletal diseases
"jaw, edentulous, partially",c05.500.480.450,c05,musculoskeletal diseases
jaw neoplasms,c05.500.499,c05,musculoskeletal diseases
mandibular neoplasms,c05.500.499.583,c05,musculoskeletal diseases
maxillary neoplasms,c05.500.499.601,c05,musculoskeletal diseases
palatal neoplasms,c05.500.499.692,c05,musculoskeletal diseases
mandibular diseases,c05.500.607,c05,musculoskeletal diseases
craniomandibular disorders,c05.500.607.221,c05,musculoskeletal diseases
temporomandibular joint disorders,c05.500.607.221.897,c05,musculoskeletal diseases
temporomandibular joint dysfunction syndrome,c05.500.607.221.897.897,c05,musculoskeletal diseases
mandibular neoplasms,c05.500.607.442,c05,musculoskeletal diseases
prognathism,c05.500.607.655,c05,musculoskeletal diseases
maxillary diseases,c05.500.693,c05,musculoskeletal diseases
maxillary neoplasms,c05.500.693.528,c05,musculoskeletal diseases
joint diseases,c05.550,c05,musculoskeletal diseases
ankylosis,c05.550.069,c05,musculoskeletal diseases
axial spondyloarthritis,c05.550.069.340,c05,musculoskeletal diseases
non-radiographic axial spondyloarthritis,c05.550.069.340.250,c05,musculoskeletal diseases
"spondylitis, ankylosing",c05.550.069.340.500,c05,musculoskeletal diseases
arthralgia,c05.550.091,c05,musculoskeletal diseases
shoulder pain,c05.550.091.700,c05,musculoskeletal diseases
arthritis,c05.550.114,c05,musculoskeletal diseases
"arthritis, experimental",c05.550.114.015,c05,musculoskeletal diseases
"arthritis, infectious",c05.550.114.099,c05,musculoskeletal diseases
"arthritis, reactive",c05.550.114.099.500,c05,musculoskeletal diseases
"arthritis, juvenile",c05.550.114.122,c05,musculoskeletal diseases
"arthritis, psoriatic",c05.550.114.145,c05,musculoskeletal diseases
"arthritis, rheumatoid",c05.550.114.154,c05,musculoskeletal diseases
caplan syndrome,c05.550.114.154.219,c05,musculoskeletal diseases
felty syndrome,c05.550.114.154.389,c05,musculoskeletal diseases
rheumatoid nodule,c05.550.114.154.683,c05,musculoskeletal diseases
rheumatoid vasculitis,c05.550.114.154.728,c05,musculoskeletal diseases
sjogren's syndrome,c05.550.114.154.774,c05,musculoskeletal diseases
"still's disease, adult-onset",c05.550.114.154.870,c05,musculoskeletal diseases
chondrocalcinosis,c05.550.114.264,c05,musculoskeletal diseases
rotator cuff tear arthropathy,c05.550.114.264.500,c05,musculoskeletal diseases
gout,c05.550.114.423,c05,musculoskeletal diseases
"arthritis, gouty",c05.550.114.423.410,c05,musculoskeletal diseases
osteoarthritis,c05.550.114.606,c05,musculoskeletal diseases
"osteoarthritis, hip",c05.550.114.606.400,c05,musculoskeletal diseases
"osteoarthritis, knee",c05.550.114.606.500,c05,musculoskeletal diseases
"osteoarthritis, spine",c05.550.114.606.750,c05,musculoskeletal diseases
periarthritis,c05.550.114.678,c05,musculoskeletal diseases
rheumatic fever,c05.550.114.843,c05,musculoskeletal diseases
rheumatic nodule,c05.550.114.843.566,c05,musculoskeletal diseases
wissler's syndrome,c05.550.114.843.823,c05,musculoskeletal diseases
sacroiliitis,c05.550.114.854,c05,musculoskeletal diseases
spondylarthritis,c05.550.114.865,c05,musculoskeletal diseases
"osteoarthritis, spine",c05.550.114.865.399,c05,musculoskeletal diseases
spondylarthropathies,c05.550.114.865.800,c05,musculoskeletal diseases
"arthritis, psoriatic",c05.550.114.865.800.424,c05,musculoskeletal diseases
"arthritis, reactive",c05.550.114.865.800.637,c05,musculoskeletal diseases
axial spondyloarthritis,c05.550.114.865.800.744,c05,musculoskeletal diseases
non-radiographic axial spondyloarthritis,c05.550.114.865.800.744.250,c05,musculoskeletal diseases
"spondylitis, ankylosing",c05.550.114.865.800.744.500,c05,musculoskeletal diseases
arthrogryposis,c05.550.150,c05,musculoskeletal diseases
"arthropathy, neurogenic",c05.550.186,c05,musculoskeletal diseases
bursitis,c05.550.251,c05,musculoskeletal diseases
periarthritis,c05.550.251.595,c05,musculoskeletal diseases
"chondromatosis, synovial",c05.550.287,c05,musculoskeletal diseases
contracture,c05.550.323,c05,musculoskeletal diseases
hip contracture,c05.550.323.468,c05,musculoskeletal diseases
ischemic contracture,c05.550.323.734,c05,musculoskeletal diseases
crystal arthropathies,c05.550.354,c05,musculoskeletal diseases
chondrocalcinosis,c05.550.354.125,c05,musculoskeletal diseases
rotator cuff tear arthropathy,c05.550.354.250,c05,musculoskeletal diseases
gout,c05.550.354.500,c05,musculoskeletal diseases
"arthritis, gouty",c05.550.354.500.500,c05,musculoskeletal diseases
femoracetabular impingement,c05.550.384,c05,musculoskeletal diseases
hallux limitus,c05.550.445,c05,musculoskeletal diseases
hallux rigidus,c05.550.450,c05,musculoskeletal diseases
hemarthrosis,c05.550.459,c05,musculoskeletal diseases
hydrarthrosis,c05.550.509,c05,musculoskeletal diseases
"joint deformities, acquired",c05.550.515,c05,musculoskeletal diseases
joint dislocations,c05.550.518,c05,musculoskeletal diseases
"diastasis, bone",c05.550.518.192,c05,musculoskeletal diseases
pubic symphysis diastasis,c05.550.518.192.500,c05,musculoskeletal diseases
"diastasis, muscle",c05.550.518.288,c05,musculoskeletal diseases
fracture dislocation,c05.550.518.336,c05,musculoskeletal diseases
colles' fracture,c05.550.518.336.500,c05,musculoskeletal diseases
monteggia's fracture,c05.550.518.336.750,c05,musculoskeletal diseases
salter-harris fractures,c05.550.518.336.875,c05,musculoskeletal diseases
hip dislocation,c05.550.518.384,c05,musculoskeletal diseases
developmental dysplasia of the hip,c05.550.518.384.500,c05,musculoskeletal diseases
knee dislocation,c05.550.518.500,c05,musculoskeletal diseases
patellar dislocation,c05.550.518.625,c05,musculoskeletal diseases
shoulder dislocation,c05.550.518.750,c05,musculoskeletal diseases
joint instability,c05.550.521,c05,musculoskeletal diseases
joint loose bodies,c05.550.535,c05,musculoskeletal diseases
metatarsalgia,c05.550.610,c05,musculoskeletal diseases
morton neuroma,c05.550.610.500,c05,musculoskeletal diseases
nail-patella syndrome,c05.550.629,c05,musculoskeletal diseases
"osteoarthropathy, primary hypertrophic",c05.550.648,c05,musculoskeletal diseases
"osteoarthropathy, secondary hypertrophic",c05.550.684,c05,musculoskeletal diseases
patellofemoral pain syndrome,c05.550.700,c05,musculoskeletal diseases
shoulder impingement syndrome,c05.550.840,c05,musculoskeletal diseases
synovitis,c05.550.870,c05,musculoskeletal diseases
giant cell tumor of tendon sheath,c05.550.870.445,c05,musculoskeletal diseases
"synovitis, pigmented villonodular",c05.550.870.445.500,c05,musculoskeletal diseases
temporomandibular joint disorders,c05.550.905,c05,musculoskeletal diseases
temporomandibular joint dysfunction syndrome,c05.550.905.905,c05,musculoskeletal diseases
muscular diseases,c05.651,c05,musculoskeletal diseases
arthrogryposis,c05.651.102,c05,musculoskeletal diseases
compartment syndromes,c05.651.180,c05,musculoskeletal diseases
anterior compartment syndrome,c05.651.180.063,c05,musculoskeletal diseases
chronic exertional compartment syndrome,c05.651.180.180,c05,musculoskeletal diseases
intra-abdominal hypertension,c05.651.180.297,c05,musculoskeletal diseases
ischemic contracture,c05.651.180.531,c05,musculoskeletal diseases
contracture,c05.651.197,c05,musculoskeletal diseases
dupuytren contracture,c05.651.197.270,c05,musculoskeletal diseases
"fibromatosis, plantar",c05.651.197.369,c05,musculoskeletal diseases
hip contracture,c05.651.197.468,c05,musculoskeletal diseases
ischemic contracture,c05.651.197.734,c05,musculoskeletal diseases
craniomandibular disorders,c05.651.243,c05,musculoskeletal diseases
temporomandibular joint disorders,c05.651.243.897,c05,musculoskeletal diseases
temporomandibular joint dysfunction syndrome,c05.651.243.897.897,c05,musculoskeletal diseases
eosinophilia-myalgia syndrome,c05.651.290,c05,musculoskeletal diseases
"fatigue syndrome, chronic",c05.651.310,c05,musculoskeletal diseases
fibromyalgia,c05.651.324,c05,musculoskeletal diseases
isaacs syndrome,c05.651.392,c05,musculoskeletal diseases
medial tibial stress syndrome,c05.651.426,c05,musculoskeletal diseases
mitochondrial myopathies,c05.651.460,c05,musculoskeletal diseases
mitochondrial encephalomyopathies,c05.651.460.620,c05,musculoskeletal diseases
melas syndrome,c05.651.460.620.520,c05,musculoskeletal diseases
merrf syndrome,c05.651.460.620.530,c05,musculoskeletal diseases
"ophthalmoplegia, chronic progressive external",c05.651.460.700,c05,musculoskeletal diseases
kearns-sayre syndrome,c05.651.460.700.500,c05,musculoskeletal diseases
muscle cramp,c05.651.475,c05,musculoskeletal diseases
muscle neoplasms,c05.651.494,c05,musculoskeletal diseases
muscle rigidity,c05.651.504,c05,musculoskeletal diseases
muscle spasticity,c05.651.512,c05,musculoskeletal diseases
muscle weakness,c05.651.515,c05,musculoskeletal diseases
"muscular disorders, atrophic",c05.651.534,c05,musculoskeletal diseases
muscular dystrophies,c05.651.534.500,c05,musculoskeletal diseases
distal myopathies,c05.651.534.500.074,c05,musculoskeletal diseases
glycogen storage disease type vii,c05.651.534.500.149,c05,musculoskeletal diseases
"muscular dystrophies, limb-girdle",c05.651.534.500.280,c05,musculoskeletal diseases
sarcoglycanopathies,c05.651.534.500.280.500,c05,musculoskeletal diseases
"muscular dystrophy, duchenne",c05.651.534.500.300,c05,musculoskeletal diseases
"muscular dystrophy, emery-dreifuss",c05.651.534.500.350,c05,musculoskeletal diseases
autosomal emery-dreifuss muscular dystrophy,c05.651.534.500.350.250,c05,musculoskeletal diseases
x-linked emery-dreifuss muscular dystrophy,c05.651.534.500.350.500,c05,musculoskeletal diseases
"muscular dystrophy, facioscapulohumeral",c05.651.534.500.400,c05,musculoskeletal diseases
"muscular dystrophy, oculopharyngeal",c05.651.534.500.450,c05,musculoskeletal diseases
myotonic dystrophy,c05.651.534.500.500,c05,musculoskeletal diseases
postpoliomyelitis syndrome,c05.651.534.750,c05,musculoskeletal diseases
musculoskeletal pain,c05.651.538,c05,musculoskeletal diseases
myalgia,c05.651.542,c05,musculoskeletal diseases
myofascial pain syndromes,c05.651.550,c05,musculoskeletal diseases
temporomandibular joint dysfunction syndrome,c05.651.550.905,c05,musculoskeletal diseases
"myopathies, structural, congenital",c05.651.575,c05,musculoskeletal diseases
"myopathies, nemaline",c05.651.575.290,c05,musculoskeletal diseases
"myopathy, central core",c05.651.575.300,c05,musculoskeletal diseases
myositis,c05.651.594,c05,musculoskeletal diseases
"myositis, inclusion body",c05.651.594.600,c05,musculoskeletal diseases
myositis ossificans,c05.651.594.638,c05,musculoskeletal diseases
orbital myositis,c05.651.594.728,c05,musculoskeletal diseases
polymyositis,c05.651.594.819,c05,musculoskeletal diseases
dermatomyositis,c05.651.594.819.500,c05,musculoskeletal diseases
pyomyositis,c05.651.594.909,c05,musculoskeletal diseases
myotonic disorders,c05.651.662,c05,musculoskeletal diseases
myotonia congenita,c05.651.662.500,c05,musculoskeletal diseases
myotonic dystrophy,c05.651.662.750,c05,musculoskeletal diseases
myotoxicity,c05.651.682,c05,musculoskeletal diseases
"paralyses, familial periodic",c05.651.701,c05,musculoskeletal diseases
hypokalemic periodic paralysis,c05.651.701.450,c05,musculoskeletal diseases
"paralysis, hyperkalemic periodic",c05.651.701.600,c05,musculoskeletal diseases
polymyalgia rheumatica,c05.651.742,c05,musculoskeletal diseases
rhabdomyolysis,c05.651.807,c05,musculoskeletal diseases
myoglobinuria,c05.651.807.628,c05,musculoskeletal diseases
tendinopathy,c05.651.869,c05,musculoskeletal diseases
elbow tendinopathy,c05.651.869.435,c05,musculoskeletal diseases
tennis elbow,c05.651.869.435.500,c05,musculoskeletal diseases
enthesopathy,c05.651.869.653,c05,musculoskeletal diseases
giant cell tumor of tendon sheath,c05.651.869.762,c05,musculoskeletal diseases
"synovitis, pigmented villonodular",c05.651.869.762.500,c05,musculoskeletal diseases
tendon entrapment,c05.651.869.816,c05,musculoskeletal diseases
de quervain disease,c05.651.869.816.200,c05,musculoskeletal diseases
trigger finger disorder,c05.651.869.816.800,c05,musculoskeletal diseases
tenosynovitis,c05.651.869.870,c05,musculoskeletal diseases
musculoskeletal abnormalities,c05.660,c05,musculoskeletal diseases
arthrogryposis,c05.660.077,c05,musculoskeletal diseases
campomelic dysplasia,c05.660.142,c05,musculoskeletal diseases
craniofacial abnormalities,c05.660.207,c05,musculoskeletal diseases
22q11 deletion syndrome,c05.660.207.103,c05,musculoskeletal diseases
digeorge syndrome,c05.660.207.103.500,c05,musculoskeletal diseases
cleidocranial dysplasia,c05.660.207.207,c05,musculoskeletal diseases
costello syndrome,c05.660.207.219,c05,musculoskeletal diseases
craniofacial dysostosis,c05.660.207.231,c05,musculoskeletal diseases
hallermann's syndrome,c05.660.207.231.427,c05,musculoskeletal diseases
hypertelorism,c05.660.207.231.480,c05,musculoskeletal diseases
mandibulofacial dysostosis,c05.660.207.231.576,c05,musculoskeletal diseases
goldenhar syndrome,c05.660.207.231.576.410,c05,musculoskeletal diseases
craniosynostoses,c05.660.207.240,c05,musculoskeletal diseases
acrocephalosyndactylia,c05.660.207.240.100,c05,musculoskeletal diseases
donohue syndrome,c05.660.207.325,c05,musculoskeletal diseases
holoprosencephaly,c05.660.207.410,c05,musculoskeletal diseases
leopard syndrome,c05.660.207.525,c05,musculoskeletal diseases
loeys-dietz syndrome,c05.660.207.532,c05,musculoskeletal diseases
megalencephaly,c05.660.207.536,c05,musculoskeletal diseases
hemimegalencephaly,c05.660.207.536.500,c05,musculoskeletal diseases
maxillofacial abnormalities,c05.660.207.540,c05,musculoskeletal diseases
dentofacial deformities,c05.660.207.540.229,c05,musculoskeletal diseases
jaw abnormalities,c05.660.207.540.460,c05,musculoskeletal diseases
cleft palate,c05.660.207.540.460.185,c05,musculoskeletal diseases
micrognathism,c05.660.207.540.460.457,c05,musculoskeletal diseases
pierre robin syndrome,c05.660.207.540.460.606,c05,musculoskeletal diseases
prognathism,c05.660.207.540.460.655,c05,musculoskeletal diseases
retrognathia,c05.660.207.540.460.827,c05,musculoskeletal diseases
microcephaly,c05.660.207.620,c05,musculoskeletal diseases
porencephaly,c05.660.207.620.500,c05,musculoskeletal diseases
noonan syndrome,c05.660.207.690,c05,musculoskeletal diseases
orofaciodigital syndromes,c05.660.207.700,c05,musculoskeletal diseases
plagiocephaly,c05.660.207.707,c05,musculoskeletal diseases
"plagiocephaly, nonsynostotic",c05.660.207.707.624,c05,musculoskeletal diseases
platybasia,c05.660.207.720,c05,musculoskeletal diseases
rubinstein-taybi syndrome,c05.660.207.850,c05,musculoskeletal diseases
silver-russell syndrome,c05.660.207.925,c05,musculoskeletal diseases
developmental dysplasia of the hip,c05.660.297,c05,musculoskeletal diseases
"hip dislocation, congenital",c05.660.297.500,c05,musculoskeletal diseases
funnel chest,c05.660.386,c05,musculoskeletal diseases
gastroschisis,c05.660.417,c05,musculoskeletal diseases
klippel-feil syndrome,c05.660.551,c05,musculoskeletal diseases
"limb deformities, congenital",c05.660.585,c05,musculoskeletal diseases
arachnodactyly,c05.660.585.174,c05,musculoskeletal diseases
brachydactyly,c05.660.585.262,c05,musculoskeletal diseases
ectromelia,c05.660.585.350,c05,musculoskeletal diseases
"lower extremity deformities, congenital",c05.660.585.512,c05,musculoskeletal diseases
"foot deformities, congenital",c05.660.585.512.380,c05,musculoskeletal diseases
talipes,c05.660.585.512.380.813,c05,musculoskeletal diseases
clubfoot,c05.660.585.512.380.813.063,c05,musculoskeletal diseases
equinus deformity,c05.660.585.512.380.813.125,c05,musculoskeletal diseases
flatfoot,c05.660.585.512.380.813.250,c05,musculoskeletal diseases
talipes cavus,c05.660.585.512.380.813.500,c05,musculoskeletal diseases
tarsal coalition,c05.660.585.512.380.875,c05,musculoskeletal diseases
polydactyly,c05.660.585.600,c05,musculoskeletal diseases
pallister-hall syndrome,c05.660.585.600.374,c05,musculoskeletal diseases
short rib-polydactyly syndrome,c05.660.585.600.750,c05,musculoskeletal diseases
proteus syndrome,c05.660.585.620,c05,musculoskeletal diseases
syndactyly,c05.660.585.800,c05,musculoskeletal diseases
acrocephalosyndactylia,c05.660.585.800.100,c05,musculoskeletal diseases
fraser syndrome,c05.660.585.800.428,c05,musculoskeletal diseases
poland syndrome,c05.660.585.800.756,c05,musculoskeletal diseases
thanatophoric dysplasia,c05.660.585.984,c05,musculoskeletal diseases
"upper extremity deformities, congenital",c05.660.585.988,c05,musculoskeletal diseases
"hand deformities, congenital",c05.660.585.988.425,c05,musculoskeletal diseases
pectus carinatum,c05.660.745,c05,musculoskeletal diseases
synostosis,c05.660.906,c05,musculoskeletal diseases
antley-bixler syndrome phenotype,c05.660.906.181,c05,musculoskeletal diseases
craniosynostoses,c05.660.906.364,c05,musculoskeletal diseases
acrocephalosyndactylia,c05.660.906.364.100,c05,musculoskeletal diseases
syndactyly,c05.660.906.819,c05,musculoskeletal diseases
acrocephalosyndactylia,c05.660.906.819.100,c05,musculoskeletal diseases
fraser syndrome,c05.660.906.819.428,c05,musculoskeletal diseases
poland syndrome,c05.660.906.819.756,c05,musculoskeletal diseases
tarsal coalition,c05.660.906.909,c05,musculoskeletal diseases
rheumatic diseases,c05.799,c05,musculoskeletal diseases
"arthritis, juvenile",c05.799.056,c05,musculoskeletal diseases
"arthritis, rheumatoid",c05.799.114,c05,musculoskeletal diseases
caplan syndrome,c05.799.114.219,c05,musculoskeletal diseases
felty syndrome,c05.799.114.389,c05,musculoskeletal diseases
rheumatoid nodule,c05.799.114.683,c05,musculoskeletal diseases
rheumatoid vasculitis,c05.799.114.728,c05,musculoskeletal diseases
sjogren's syndrome,c05.799.114.774,c05,musculoskeletal diseases
"still's disease, adult-onset",c05.799.114.870,c05,musculoskeletal diseases
fibromyalgia,c05.799.321,c05,musculoskeletal diseases
gout,c05.799.414,c05,musculoskeletal diseases
"arthritis, gouty",c05.799.414.410,c05,musculoskeletal diseases
"hyperostosis, sternocostoclavicular",c05.799.440,c05,musculoskeletal diseases
osteoarthritis,c05.799.613,c05,musculoskeletal diseases
"osteoarthritis, hip",c05.799.613.400,c05,musculoskeletal diseases
"osteoarthritis, knee",c05.799.613.500,c05,musculoskeletal diseases
"osteoarthritis, spine",c05.799.613.750,c05,musculoskeletal diseases
polymyalgia rheumatica,c05.799.720,c05,musculoskeletal diseases
rheumatic fever,c05.799.825,c05,musculoskeletal diseases
rheumatic nodule,c05.799.825.566,c05,musculoskeletal diseases
wissler's syndrome,c05.799.825.823,c05,musculoskeletal diseases
digestive system diseases,c06,c06,digestive system diseases
biliary tract diseases,c06.130,c06,digestive system diseases
bile duct diseases,c06.130.120,c06,digestive system diseases
bile duct neoplasms,c06.130.120.120,c06,digestive system diseases
common bile duct neoplasms,c06.130.120.120.280,c06,digestive system diseases
biliary atresia,c06.130.120.123,c06,digestive system diseases
choledochal cyst,c06.130.120.127,c06,digestive system diseases
caroli disease,c06.130.120.127.500,c06,digestive system diseases
cholestasis,c06.130.120.135,c06,digestive system diseases
"cholestasis, extrahepatic",c06.130.120.135.150,c06,digestive system diseases
"cholestasis, intrahepatic",c06.130.120.135.250,c06,digestive system diseases
alagille syndrome,c06.130.120.135.250.125,c06,digestive system diseases
"liver cirrhosis, biliary",c06.130.120.135.250.250,c06,digestive system diseases
mirizzi syndrome,c06.130.120.135.812,c06,digestive system diseases
cholangitis,c06.130.120.200,c06,digestive system diseases
"cholangitis, sclerosing",c06.130.120.200.110,c06,digestive system diseases
common bile duct diseases,c06.130.120.250,c06,digestive system diseases
biliary dyskinesia,c06.130.120.250.098,c06,digestive system diseases
sphincter of oddi dysfunction,c06.130.120.250.098.800,c06,digestive system diseases
choledocholithiasis,c06.130.120.250.174,c06,digestive system diseases
common bile duct neoplasms,c06.130.120.250.280,c06,digestive system diseases
pancreaticobiliary maljunction,c06.130.120.250.640,c06,digestive system diseases
bile reflux,c06.130.140,c06,digestive system diseases
biliary tract neoplasms,c06.130.320,c06,digestive system diseases
bile duct neoplasms,c06.130.320.120,c06,digestive system diseases
common bile duct neoplasms,c06.130.320.120.280,c06,digestive system diseases
gallbladder neoplasms,c06.130.320.401,c06,digestive system diseases
cholelithiasis,c06.130.409,c06,digestive system diseases
cholecystolithiasis,c06.130.409.178,c06,digestive system diseases
choledocholithiasis,c06.130.409.267,c06,digestive system diseases
gallstones,c06.130.409.633,c06,digestive system diseases
gallbladder diseases,c06.130.564,c06,digestive system diseases
cholecystitis,c06.130.564.263,c06,digestive system diseases
acalculous cholecystitis,c06.130.564.263.249,c06,digestive system diseases
"cholecystitis, acute",c06.130.564.263.500,c06,digestive system diseases
emphysematous cholecystitis,c06.130.564.263.500.500,c06,digestive system diseases
cholecystolithiasis,c06.130.564.332,c06,digestive system diseases
gallstones,c06.130.564.332.500,c06,digestive system diseases
gallbladder neoplasms,c06.130.564.401,c06,digestive system diseases
postcholecystectomy syndrome,c06.130.825,c06,digestive system diseases
digestive system abnormalities,c06.198,c06,digestive system diseases
anorectal malformations,c06.198.025,c06,digestive system diseases
"anus, imperforate",c06.198.050,c06,digestive system diseases
biliary atresia,c06.198.125,c06,digestive system diseases
choledochal cyst,c06.198.184,c06,digestive system diseases
caroli disease,c06.198.184.500,c06,digestive system diseases
diaphragmatic eventration,c06.198.257,c06,digestive system diseases
esophageal atresia,c06.198.330,c06,digestive system diseases
hirschsprung disease,c06.198.439,c06,digestive system diseases
intestinal atresia,c06.198.719,c06,digestive system diseases
meckel diverticulum,c06.198.859,c06,digestive system diseases
median arcuate ligament syndrome,c06.198.929,c06,digestive system diseases
pancreaticobiliary maljunction,c06.198.964,c06,digestive system diseases
digestive system fistula,c06.267,c06,digestive system diseases
biliary fistula,c06.267.150,c06,digestive system diseases
esophageal fistula,c06.267.250,c06,digestive system diseases
tracheoesophageal fistula,c06.267.250.725,c06,digestive system diseases
gastric fistula,c06.267.375,c06,digestive system diseases
intestinal fistula,c06.267.550,c06,digestive system diseases
rectal fistula,c06.267.550.600,c06,digestive system diseases
rectovaginal fistula,c06.267.550.600.650,c06,digestive system diseases
pancreatic fistula,c06.267.775,c06,digestive system diseases
