Education,Income,Kidhome,Teenhome,MntWinesProducts,MntFruitsProducts,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmpLast,Relationship_status,TotalAMntspent,TotalCmpAccepted,TotalNumPurchases,Age,KidTeenhome
Post_grad,48799.0,0,1,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,Unattached,331,0,12,51,1
Post_grad,52157.0,0,1,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,Attached,265,0,10,64,1
Graduate,66565.0,0,1,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,Unattached,1065,0,15,52,1
Post_grad,29298.0,1,1,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,Attached,11,0,3,63,2
Graduate,47691.0,0,1,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,Unattached,21,0,3,35,1
Graduate,38200.0,1,1,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,Attached,17,0,3,44,2
Graduate,44989.0,0,1,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,Attached,369,0,11,40,1
Post_grad,38443.0,1,1,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,Attached,38,0,4,46,2
Undergrad,38593.0,1,0,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,Unattached,177,0,8,36,1
Post_grad,64413.0,0,1,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,Attached,279,0,11,44,1
Post_grad,36959.0,1,0,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,Attached,62,0,5,33,1
Post_grad,61996.0,0,1,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,1,Attached,1230,4,18,37,1
Graduate,51287.0,1,1,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,Attached,182,0,8,46,2
Graduate,13260.0,1,1,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,Attached,49,0,6,44,2
Post_grad,47472.0,1,1,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,Attached,75,0,6,48,2
Post_grad,54603.0,1,1,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,Attached,227,0,10,58,2
Post_grad,45207.0,1,1,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,Attached,215,1,10,40,2
Graduate,40689.0,0,1,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,Attached,444,0,13,63,1
Undergrad,47821.0,1,1,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,Attached,47,0,4,47,2
Post_grad,27450.0,0,0,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,Attached,143,0,6,63,0
Graduate,39453.0,1,0,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,Attached,55,0,5,31,1
Undergrad,26850.0,1,1,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,Attached,63,0,7,43,2
Graduate,79800.0,0,0,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,1,Unattached,1867,4,21,59,0
Post_grad,61794.0,0,1,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,Attached,611,0,18,53,1
Graduate,53863.0,0,1,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,Attached,473,1,15,59,1
Graduate,24221.0,0,0,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,Attached,55,0,5,55,0
Post_grad,39684.0,1,0,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,Unattached,81,1,5,30,1
Post_grad,92163.0,0,0,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,1,Attached,2086,3,21,39,0
Post_grad,69882.0,0,0,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,Unattached,1478,0,19,49,0
Graduate,33178.0,1,0,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,Attached,49,0,4,37,1
Post_grad,59973.0,0,0,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,Attached,382,0,14,42,0
Post_grad,17459.0,1,0,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,1,Attached,69,1,6,39,1
Graduate,23910.0,1,0,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,Unattached,67,0,5,45,1
Post_grad,42169.0,1,1,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,Attached,30,0,4,45,2
Undergrad,26224.0,1,0,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,Attached,63,0,6,36,1
Graduate,31089.0,1,0,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,Attached,79,0,7,33,1
Graduate,30081.0,0,1,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,Unattached,42,0,4,53,1
Graduate,62807.0,0,1,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,Attached,819,0,20,54,1
Graduate,72906.0,0,0,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,Unattached,1151,0,16,59,0
Post_grad,61467.0,0,2,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,Attached,594,0,17,66,2
Post_grad,49618.0,1,1,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,Attached,129,0,7,48,2
Post_grad,21888.0,1,0,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,1,Unattached,213,1,8,28,1
Graduate,42429.0,0,1,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,Unattached,67,0,5,41,1
Graduate,26150.0,2,1,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,Unattached,28,0,4,58,3
Undergrad,30801.0,0,1,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,Attached,45,0,4,39,1
Graduate,81168.0,0,0,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,Attached,1193,1,17,49,0
Post_grad,26877.0,0,0,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,Unattached,268,0,10,45,0
Post_grad,45006.0,0,0,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,Unattached,266,0,11,70,0
Undergrad,18978.0,1,0,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,Attached,37,0,4,41,1
Graduate,22574.0,2,1,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,Attached,37,0,5,47,3
Post_grad,48240.0,0,0,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,1,Unattached,882,1,22,45,0
Graduate,45837.0,1,1,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,Attached,373,0,13,40,2
Post_grad,35791.0,2,1,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,Unattached,35,0,4,49,3
Post_grad,162397.0,1,1,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,Attached,107,0,1,38,2
Graduate,54162.0,1,1,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,Unattached,42,0,4,36,2
Post_grad,30522.0,0,1,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,Attached,326,0,12,54,1
Post_grad,54456.0,0,1,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,Attached,404,0,14,53,1
Graduate,31632.0,0,0,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,Unattached,95,0,5,43,0
Graduate,72298.0,0,0,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,Unattached,939,2,13,65,0
Undergrad,36975.0,1,0,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,Unattached,33,0,4,36,1
Undergrad,72635.0,0,0,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,Attached,981,1,20,59,0
Graduate,13624.0,1,0,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,Attached,36,0,5,38,1
Graduate,84196.0,0,1,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,Unattached,1237,0,19,39,1
Graduate,70971.0,0,1,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,1,Attached,1825,1,27,54,1
Post_grad,34487.0,1,1,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,Unattached,103,0,6,37,2
Graduate,28769.0,1,0,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,Unattached,191,0,9,37,1
Post_grad,69084.0,1,0,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,Attached,1586,0,23,44,1
Post_grad,65488.0,0,0,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,Attached,963,0,13,56,0
Undergrad,62466.0,0,1,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,Attached,889,0,21,44,1
Undergrad,32218.0,0,0,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,1,Unattached,93,2,6,54,0
Graduate,83917.0,0,0,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,1,Unattached,1587,1,20,41,0
Graduate,46102.0,2,1,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,Unattached,16,0,3,52,3
Graduate,84574.0,0,0,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,Unattached,1375,0,31,62,0
Graduate,56181.0,0,1,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,Attached,393,0,13,52,1
Post_grad,63120.0,0,1,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,1,Unattached,1477,1,21,64,1
Graduate,73691.0,0,1,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,Attached,1179,1,16,43,1
Graduate,63381.0,0,1,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,Attached,1005,0,22,54,1
Post_grad,76140.0,0,0,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,Attached,1348,0,20,66,0
Post_grad,62859.0,0,1,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,Unattached,1307,0,19,55,1
Graduate,45906.0,0,1,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,Unattached,486,1,13,50,1
Post_grad,77632.0,0,0,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,1,Attached,2252,3,12,67,0
Post_grad,46463.0,1,1,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,Attached,235,0,10,43,2
Graduate,105471.0,0,0,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,1,Attached,1724,3,30,44,0
Post_grad,55282.0,1,0,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,Unattached,235,0,10,44,1
Post_grad,78710.0,0,1,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,Attached,1092,0,25,37,1
Graduate,66886.0,0,1,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,Attached,599,0,15,56,1
Post_grad,98777.0,0,0,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,Unattached,2008,1,19,54,0
Graduate,29103.0,1,0,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,Attached,48,0,4,29,1
Graduate,67445.0,0,1,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,Attached,1174,0,27,40,1
Post_grad,50616.0,0,1,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,Attached,67,0,6,64,1
Graduate,49431.0,0,1,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,Unattached,365,0,13,59,1
Graduate,153924.0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Unattached,6,0,0,39,0
Graduate,61278.0,0,1,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,Attached,165,0,8,61,1
Undergrad,26490.0,0,0,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,Attached,210,0,9,56,0
Post_grad,73059.0,0,1,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,Attached,1095,0,25,67,1
Post_grad,46734.0,1,2,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,Unattached,223,1,8,48,3
Graduate,56253.0,0,1,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,Attached,597,0,18,51,1
Graduate,19986.0,1,0,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,Attached,22,0,3,29,1
Graduate,58330.0,0,1,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,Unattached,1064,0,23,39,1
Undergrad,25965.0,0,0,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,Attached,74,0,5,34,0
Post_grad,14661.0,0,0,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,Attached,26,0,4,58,0
Graduate,18690.0,0,0,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,Attached,60,0,4,55,0
Post_grad,45068.0,0,1,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,Attached,20,0,3,40,1
Undergrad,21063.0,1,0,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,Unattached,59,0,5,27,1
Post_grad,29187.0,1,0,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,Attached,34,0,4,46,1
Undergrad,54690.0,1,1,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,Attached,198,0,9,43,2
Post_grad,59304.0,0,1,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,Attached,1048,0,25,50,1
Post_grad,59247.0,0,2,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,Unattached,574,0,16,52,2
Graduate,66731.0,0,1,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,Unattached,1029,0,13,44,1
Graduate,77353.0,0,1,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,Attached,670,0,18,34,1
Post_grad,52614.0,0,1,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,Unattached,990,0,14,39,1
Graduate,26751.0,2,0,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,Attached,11,0,3,40,2
Post_grad,81300.0,0,1,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,1,Attached,1241,2,18,51,1
Graduate,70337.0,0,0,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,Unattached,576,0,16,35,0
Undergrad,36145.0,1,0,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,1,Attached,172,2,8,29,1
Post_grad,65295.0,0,0,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,Unattached,664,0,19,34,0
Graduate,68118.0,0,1,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,Unattached,928,0,21,51,1
Graduate,68743.0,0,0,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,Unattached,2074,0,29,47,0
Undergrad,41039.0,0,0,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,Attached,467,0,14,32,0
Graduate,38946.0,0,1,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,Attached,257,0,10,59,1
Graduate,65777.0,0,0,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,Attached,1146,0,16,47,0
Post_grad,66476.0,0,1,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,Unattached,689,0,18,38,1
Post_grad,86857.0,0,0,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,1,Unattached,2114,1,21,42,0
Post_grad,160803.0,0,0,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,Attached,1717,0,29,32,0
Post_grad,77845.0,0,0,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,Attached,1346,2,20,25,0
Post_grad,69476.0,0,0,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,Attached,1044,0,14,45,0
Post_grad,50611.0,0,1,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,1,Unattached,493,2,16,54,1
Graduate,61209.0,0,0,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,Unattached,957,0,12,44,0
Post_grad,42315.0,0,1,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,Attached,270,0,9,56,1
Undergrad,13084.0,0,0,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,Attached,29,0,4,62,0
Post_grad,47570.0,1,1,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,Unattached,121,1,6,65,2
Post_grad,61923.0,0,2,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,Attached,126,0,7,53,2
Graduate,34824.0,0,0,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,Unattached,23,0,3,19,0
Post_grad,26518.0,1,1,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,1,Unattached,57,1,5,65,2
Graduate,45938.0,0,0,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,Unattached,636,0,18,53,0
Graduate,78468.0,0,0,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,Attached,1004,1,27,54,0
Graduate,78901.0,0,1,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,Unattached,734,0,17,41,1
Graduate,71427.0,2,0,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,Attached,614,0,18,36,2
Graduate,71022.0,0,1,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,Unattached,1453,1,18,36,1
Post_grad,90247.0,0,0,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,1,Unattached,1621,4,14,26,0
Post_grad,41335.0,1,0,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,Unattached,187,0,9,46,1
Graduate,71952.0,1,0,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,Attached,1443,2,20,28,1
Post_grad,35682.0,1,0,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,Unattached,57,0,5,44,1
Graduate,43185.0,0,1,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,Unattached,637,0,18,63,1
Post_grad,66375.0,0,1,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,Attached,948,1,11,66,1
Post_grad,35178.0,1,0,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,1,Attached,59,2,4,43,1
Graduate,25252.0,1,0,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,Attached,18,0,3,28,1
Post_grad,55250.0,0,1,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,Unattached,903,0,22,49,1
Graduate,33249.0,1,0,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,Unattached,112,0,6,39,1
Graduate,58398.0,0,0,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,Attached,596,0,17,61,0
Graduate,50272.0,1,0,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,Attached,233,0,10,32,1
Post_grad,76618.0,0,0,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,Attached,1511,0,10,39,0
Undergrad,87305.0,0,0,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,1,Unattached,1152,2,16,54,0
Graduate,25851.0,1,0,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,Attached,48,0,5,36,1
Graduate,58710.0,0,1,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,Unattached,1185,0,25,44,1
Graduate,45160.0,1,1,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,Unattached,21,0,3,56,2
Post_grad,74806.0,0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,Attached,965,0,14,49,1
Graduate,59111.0,0,0,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,Attached,869,0,20,60,0
Post_grad,18988.0,1,0,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,Attached,16,0,4,30,1
Graduate,72190.0,0,0,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,Attached,1947,0,15,49,0
Graduate,7500.0,1,0,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,1,Attached,71,2,7,38,1
Graduate,44794.0,0,1,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,Attached,65,0,5,48,1
Graduate,80395.0,0,0,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,Attached,1380,1,23,59,0
Post_grad,75012.0,0,0,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,Unattached,1027,0,22,38,0
Post_grad,56962.0,2,1,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,Attached,411,0,14,49,3
Graduate,89891.0,0,0,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,Attached,836,1,25,23,0
Post_grad,35946.0,1,1,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,Unattached,11,0,3,65,2
Post_grad,53593.0,1,1,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,Attached,480,0,15,61,2
Graduate,66373.0,1,1,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,Attached,606,0,16,36,2
Post_grad,45072.0,1,2,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,Unattached,284,0,11,66,3
Graduate,89694.0,1,1,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,Unattached,1472,3,11,41,2
Graduate,72025.0,0,0,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,1,Attached,1677,4,25,65,0
Graduate,67432.0,0,1,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,Attached,1335,0,17,41,1
Post_grad,70545.0,0,1,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,Attached,334,0,12,62,1
Undergrad,17487.0,1,0,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,Attached,18,0,3,25,1
Graduate,62882.0,0,1,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,Attached,1338,0,18,45,1
Post_grad,64108.0,0,1,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,Unattached,1099,0,26,61,1
Post_grad,34941.0,1,1,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,Attached,97,0,6,58,2
Post_grad,48767.0,1,2,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,Unattached,63,0,6,64,3
Undergrad,38702.0,1,0,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,Attached,109,0,7,36,1
Graduate,82224.0,0,0,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,Attached,902,1,20,50,0
Graduate,83844.0,0,0,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,Attached,1574,1,19,62,0
Undergrad,17003.0,1,0,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,Attached,38,0,6,39,1
Graduate,71163.0,0,0,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,Unattached,960,0,23,19,0
Graduate,33697.0,1,0,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,Unattached,28,1,3,44,1
Undergrad,63564.0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,Attached,1215,2,27,60,0
Post_grad,83443.0,0,0,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,Attached,1497,0,21,42,0
Post_grad,51518.0,0,1,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,Attached,449,0,15,56,1
Graduate,58330.0,0,1,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,Unattached,1064,0,23,39,1
Graduate,80952.0,0,0,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,1,Attached,1757,4,24,45,0
Graduate,75507.0,0,0,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,Attached,1440,0,20,35,0
Undergrad,63855.0,0,0,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,Attached,1006,0,23,36,0
Post_grad,62220.0,0,1,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,1,Attached,1226,1,18,42,1
Graduate,58512.0,0,1,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,Attached,1171,0,15,50,1
Post_grad,40662.0,1,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,Attached,92,0,6,35,1
Post_grad,38829.0,0,1,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,Attached,99,0,7,55,1
Undergrad,35523.0,1,0,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,Attached,66,0,6,33,1
Graduate,79146.0,1,1,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,Unattached,564,0,17,47,2
Post_grad,78285.0,0,0,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,Attached,1427,0,20,26,0
Post_grad,31626.0,1,0,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,1,Unattached,86,2,5,36,1
Graduate,75127.0,0,0,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,Unattached,833,0,18,62,0
Graduate,48726.0,0,1,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,Attached,242,0,9,59,1
Graduate,74985.0,0,0,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,Attached,1869,0,16,37,0
Graduate,67430.0,0,0,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,Attached,1364,0,28,27,0
Undergrad,46891.0,0,1,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,Attached,183,0,7,49,1
Post_grad,62058.0,0,1,301,7,74,10,0,58,4,6,1,7,6,0,0,0,0,0,0,Attached,450,0,14,58,1
Graduate,72063.0,0,1,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,Attached,758,0,19,35,1
Post_grad,78939.0,0,0,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,Attached,1507,0,19,63,0
Graduate,42720.0,1,1,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,1,Unattached,654,1,17,49,2
Graduate,33622.0,1,1,39,1,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,Attached,81,0,6,42,2
Post_grad,6835.0,0,1,107,2,12,2,2,12,0,0,0,1,20,0,0,0,0,0,0,Attached,137,0,1,57,1
Graduate,41452.0,1,1,13,0,3,0,0,0,1,1,0,2,7,0,0,0,0,0,0,Attached,16,0,3,61,2
Post_grad,40760.0,0,1,70,0,17,0,0,6,2,2,1,3,6,0,0,0,0,0,0,Unattached,93,0,6,49,1
Post_grad,74250.0,0,0,680,11,392,75,0,0,1,2,11,4,1,0,0,0,0,0,0,Attached,1158,0,17,56,0
Post_grad,51124.0,1,1,26,1,11,0,1,4,2,1,0,3,3,0,0,0,0,0,0,Unattached,43,0,4,59,2
Graduate,72258.0,0,1,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,Unattached,1525,0,20,43,1
Post_grad,71466.0,0,0,412,12,546,78,182,0,1,4,4,10,1,0,0,0,0,0,0,Unattached,1230,0,18,40,0
